Ticker,Strategy Return (%),Buy & Hold (%),Max Drawdown (%),Total Trades
AAPL,60671.65931565618,879.3677475718683,-44.76196790678289,676
MSFT,39972.68968581799,1092.0114954925295,-26.34012028742384,472
GOOGL,45680.50082178619,1131.7498215044432,-62.015694308177785,655
AMZN,969064.041591248,1306.990761147329,-42.31929859709093,662
TSLA,1747116546202121.5,2523.4285462831267,-46.40588601999429,891
NVDA,524418640235.22205,39109.4053796864,-76.28306968665935,1055
