Date,Adj Close,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,SMA_50,EMA_20,Momentum_5,Momentum_10,Momentum_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Return_Lag_10,Target,Predicted_Price,Expected_Return,Signal,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Buy_Hold
2015-03-16,0.5526044368743896,0.5742499828338623,0.577750027179718,0.5682500004768372,0.5720000267028809,236956000,0.0118942513814097,0.5671249985694885,0.5616749972105026,0.5268950009346008,0.5582198755322993,0.015922164819687,0.0163716553222674,0.0295831404397675,59.70588936525902,0.0123409663379445,0.0131439892403377,0.5769600950395058,0.5463898993814994,0.0013233440819764,-0.0091783854394612,-0.0052173242406704,0.0026606666246571,0.0244786485147203,0.581250011920929,0.577922908893813,0.0063960403478381216,HOLD,0.012189863815967872,0.0,1.0,1.0121898638159679
2015-03-17,0.5593404769897461,0.581250011920929,0.5814999938011169,0.5690000057220459,0.5730000138282776,299900000,0.0121898638159678,0.5698000013828277,0.5627624988555908,0.5284550011157989,0.560413221855026,0.0108696069068412,0.0482417112993855,0.0388740549014727,65.81198206765384,0.0126979467745194,0.013054780747174,0.5803217808485834,0.5452032168625982,0.0118942513814097,0.0013233440819764,-0.0091783854394612,0.0172490206753519,-0.0185840953497088,0.5717499852180481,0.5747586413132396,-0.011167949203538943,HOLD,-0.016344131626741754,0.0,1.0,0.9956464994505059
2015-03-18,0.550198495388031,0.5717499852180481,0.5842499732971191,0.5665000081062317,0.581250011920929,413844000,-0.0163441316267417,0.5708999991416931,0.5636999994516373,0.5299950009584427,0.5614929136038852,-0.0004371354425873,0.0196165446972647,0.0339059906443337,58.74672719055688,0.0120750894676229,0.0128588424912638,0.581065722998802,0.5463342759044726,0.0121898638159678,0.0118942513814097,0.0013233440819764,-0.0052173242406704,0.011271459016404,0.5805000066757202,0.5804931586471012,0.015291952173323945,HOLD,0.015303929486478518,0.0,1.0,1.0108838032715557
2015-03-19,0.5586189031600952,0.5805000066757202,0.5824999809265137,0.5695000290870667,0.5737500190734863,310756000,0.0153039294864785,0.5717999994754791,0.5650000005960465,0.5320100009441375,0.56330311294406,0.0242611679439641,0.0157480372446112,0.0468891319177131,64.35642629473372,0.0121474954036565,0.0127165730737423,0.5833317365405133,0.5466682646515797,-0.0163441316267417,0.0121898638159678,0.0118942513814097,-0.0091783854394612,0.019170745541158,0.5867499709129333,0.5823104876983187,0.003118830321753782,HOLD,0.010766518803339897,0.0,1.0,1.0217675027474706
2015-03-20,0.5646331310272217,0.5867499709129333,0.5902500152587891,0.5797500014305115,0.5852500200271606,462084000,0.0107665188033398,0.5740999937057495,0.5664124995470047,0.5341750001907348,0.5655361470363336,0.0339206622785044,0.0407981217480446,0.0505818790137753,61.599985758463546,0.0125643633507693,0.0126861311291477,0.5868660804093042,0.5459589186847051,0.0153039294864785,-0.0163441316267417,0.0121898638159678,0.0013233440819764,-0.0135607605990668,0.5677499771118164,0.5760542572861175,-0.018228741639602038,HOLD,-0.032381754994473266,0.0,1.0,0.9886808778121873
2015-03-23,0.5463492274284363,0.5677499771118164,0.5767499804496765,0.5674999952316284,0.5692499876022339,426012000,-0.0323817549944732,0.574349993467331,0.5670999974012375,0.5356000000238419,0.5657469879959034,-0.0113191221878128,0.0044228177027858,0.0248194162230925,56.47921560855043,0.0112321166431387,0.0123953282319459,0.5867035617406486,0.5474964330618264,0.0107665188033398,0.0153039294864785,-0.0163441316267417,0.0118942513814097,0.0026606666246571,0.5600000023841858,0.5598450929147911,-0.01392317836319075,HOLD,-0.013650330321553272,0.0,1.0,0.9751850572474476
2015-03-24,0.5388914942741394,0.5600000023841858,0.5699999928474426,0.5575000047683716,0.5659999847412109,330480000,-0.0136503303215532,0.5728499948978424,0.5672124981880188,0.5368300002813339,0.5651996560328826,-0.03655915544245,-0.0260869321841142,0.0040340937507614,49.6385514481784,0.009442100678624,0.0118046827212815,0.5866149279868663,0.5478100683891712,-0.0323817549944732,0.0107665188033398,0.0153039294864785,0.0121898638159678,0.0172490206753519,0.5260000228881836,0.5407923272185348,-0.034299419792633644,SELL,-0.06071424884151455,0.06071424884151455,1.0607142488415144,0.9159774290151995
2015-03-25,0.5061730146408081,0.5260000228881836,0.5597500205039978,0.5242499709129333,0.5597500205039978,542552000,-0.0607142488415145,0.5682499945163727,0.5658374994993209,0.5375050008296967,0.5614663576381493,-0.0800174263448679,-0.0804195833343753,-0.0496837830890584,32.086609831018365,0.0052198151548517,0.0104877092079956,0.5920382661989712,0.5396367327996707,-0.0136503303215532,-0.0323817549944732,0.0107665188033398,-0.0163441316267417,-0.0052173242406704,0.5242499709129333,0.5268932959937698,0.0016982377694231955,HOLD,-0.003327094865207436,0.0,1.0607142488415144,0.9129298852144772
2015-03-26,0.504489004611969,0.5242499709129333,0.5264999866485596,0.5115000009536743,0.515250027179718,311920000,-0.0033270948652074,0.563999992609024,0.5642999976873397,0.5381600004434586,0.5579219398547954,-0.0968992852987327,-0.0749890071890512,-0.0554054699879877,33.67766101506224,0.001712666337291,0.0087327006338547,0.5961733453768755,0.532426649997804,-0.0607142488415145,-0.0136503303215532,-0.0323817549944732,0.0153039294864785,-0.0091783854394612,0.534500002861023,0.531920566064234,0.014631560470939085,HOLD,0.019551802607141955,0.0,1.0607142488415144,0.9307793101243513
2015-03-27,0.5143528580665588,0.534500002861023,0.5364999771118164,0.518750011920929,0.5272499918937683,318288000,0.0195518026071419,0.5606999933719635,0.5634499967098237,0.53898000061512,0.5556912791887219,-0.0890498008387011,-0.0581497667804143,-0.0308250568621802,38.150304684072594,-0.0002369510291814,0.0069387703012474,0.5975869474656513,0.529313045953996,-0.0033270948652074,-0.0607142488415145,-0.0136503303215532,0.0107665188033398,0.0013233440819764,0.5367500185966492,0.5337400278830409,-0.0014218427949750346,HOLD,0.0042095710450562596,0.0,1.0607142488415144,0.9346974917575882
2015-03-30,0.5165178775787354,0.5367500185966492,0.5394999980926514,0.5299999713897705,0.5370000004768372,253252000,0.0042095710450562,0.5569499969482422,0.5620374977588654,0.539915000796318,0.5538873496085245,-0.05460142627018,-0.0653025082424118,-0.0499999630767685,34.35585095386871,-0.0015822402914767,0.0052345681827026,0.5981831313905149,0.5258918641272158,0.0195518026071419,-0.0033270948652074,-0.0607142488415145,-0.0323817549944732,0.0118942513814097,0.5232499837875366,0.5305002435370558,-0.011643735152415251,HOLD,-0.025151437990461267,0.0,1.0607142488415144,0.9111885057538075
2015-03-31,0.5035266876220703,0.5232499837875366,0.5357499718666077,0.5227500200271606,0.5352500081062317,357276000,-0.0251514379904612,0.551149994134903,0.5604749977588653,0.5404000002145767,0.5509695052446208,-0.0656250329289052,-0.0997849925915914,-0.0563570800968207,31.63842315252755,-0.0036951364755806,0.0034486272510459,0.6004874601430483,0.5204625353746823,0.0042095710450562,0.0195518026071419,-0.0033270948652074,-0.0136503303215532,0.0121898638159678,0.5252500176429749,0.5265361649375577,0.006280327284932025,HOLD,0.0038223295124846235,0.0,1.0607142488415144,0.914671368470787
2015-04-01,0.5054512023925781,0.5252500176429749,0.5270000100135803,0.5162500143051147,0.5252500176429749,330768000,0.0038223295124846,0.5464999973773956,0.5586999982595444,0.5408950001001358,0.5485200302349403,-0.001425865423143,-0.081329197686537,-0.0633080508308828,33.97686329886241,-0.0051488827911759,0.0017291252426015,0.6016992579178003,0.5157007386012885,-0.0251514379904612,0.0042095710450562,0.0195518026071419,-0.0607142488415145,-0.0163441316267417,0.5264999866485596,0.529006821200755,0.007152410150576666,HOLD,0.0023797600449284584,0.0,1.0607142488415144,0.9168480668477138
2015-04-02,0.5066542029380798,0.5264999866485596,0.5297499895095825,0.5220000147819519,0.528249979019165,192204000,0.0023797600449284,0.5410999953746796,0.5564499974250794,0.5412749999761581,0.5464228832267136,0.0042918757471899,-0.0930232892440364,-0.0787401862230565,34.23077981146609,-0.0061294684705709,0.000157406499967,0.6012987446718957,0.5116012501782631,0.0038223295124846,-0.0251514379904612,0.0042095710450562,-0.0033270948652074,0.0153039294864785,0.5417500138282776,0.5340131177729386,0.014269955014061668,HOLD,0.028964914656108842,0.0,1.0607142488415144,0.9434044928565762
2015-04-06,0.5213294625282288,0.5417500138282776,0.5435000061988831,0.518750011920929,0.5242499709129333,515864000,0.0289649146561088,0.536599999666214,0.5553499966859817,0.5417849999666214,0.5459778480459102,0.0135640990242233,-0.0766935821311411,-0.0390244144841763,38.26717225120683,-0.0056113557267511,-0.0009963459453765,0.6005228743090669,0.5101771190628965,0.0023797600449284,0.0038223295124846,-0.0251514379904612,0.0195518026071419,0.0107665188033398,0.546500027179718,0.548599513267178,0.012643284289922672,HOLD,0.008767906285547467,0.0,1.0607142488415144,0.9516761750393071
