Date,Adj Close,Close,High,Low,Open,Volume,Return,SMA_10,SMA_20,SMA_50,EMA_20,Momentum_5,Momentum_10,Momentum_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Return_Lag_10,Target
2015-03-16,35.5198860168457,41.560001373291016,41.63999938964844,41.27999877929688,41.470001220703125,35273500,0.0043499347638846775,42.263000106811525,43.056000328063966,43.905599975585936,42.675404521252304,-0.030104950916372997,-0.0528714593972518,-0.052655518915794675,24.130888598344313,-0.6265767914031173,-0.45356399168257594,45.04445563297917,41.06754502314876,0.008776221509851911,-0.02286801083708434,-0.0011896083395839252,0.011567465927981635,0.0006842096930026464,41.70000076293945
2015-03-17,35.63953399658203,41.70000076293945,41.83000183105469,41.150001525878906,41.369998931884766,31673400,0.0033686088792674873,42.10500030517578,42.9620002746582,43.804400024414065,42.582508925222506,-0.007851487650291755,-0.03650642469780352,-0.04313907730897715,26.774840022594148,-0.6268317259588088,-0.4882175385378225,45.02259400197342,40.90140654734299,0.0043499347638846775,0.008776221509851911,-0.02286801083708434,-0.019136516313283836,-0.013673707251897427,42.5
2015-03-18,36.32326889038086,42.5,42.83000183105469,41.33000183105469,41.43000030517578,44194800,0.01918463363126688,42.04900016784668,42.91050033569336,43.72779998779297,42.57465093234417,0.012386861920770098,-0.01300514062775604,-0.0236618150282778,36.219068769018726,-0.5560704765607625,-0.5017881261424105,44.96279035296604,40.858210318420674,0.0033686088792674873,0.0043499347638846775,0.008776221509851911,-0.0011896083395839252,-0.0050831195057958745,42.290000915527344
2015-03-19,36.14379119873047,42.290000915527344,42.59000015258789,42.220001220703125,42.2599983215332,33879100,-0.004941154928768343,41.96700019836426,42.85000038146973,43.66059997558594,42.54754140693304,0.030960517883741323,-0.019021101443160715,-0.027816070907417334,36.21909317977485,-0.5110458294796558,-0.5036396668098596,44.90045875298334,40.79954200995611,0.01918463363126688,0.0033686088792674873,0.0043499347638846775,-0.02286801083708434,0.001161152704736379,42.880001068115234
2015-03-20,36.64804458618164,42.880001068115234,42.97999954223633,42.4900016784668,42.560001373291016,71904500,0.013951292026840978,42.01900024414063,42.80100040435791,43.593600006103514,42.57920423180754,0.03624939490772028,0.012275742452104721,-0.022343810501567418,41.96140650854259,-0.42288068549765256,-0.48748787054741827,44.795919339892954,40.80608146882286,-0.004941154928768343,0.01918463363126688,0.0033686088792674873,0.008776221509851911,-0.01739735535563669,42.86000061035156
2015-03-23,36.63094329833984,42.86000061035156,43.130001068115234,42.77999877929688,42.880001068115234,26246100,-0.00046642857428802476,42.02000045776367,42.736500358581544,43.49900001525879,42.605946744049824,0.03128005760596553,0.00023342209070364994,-0.02921859277334793,46.276606537751285,-0.35058175524221014,-0.4601066474863767,44.62853653756587,40.84446417959722,0.013951292026840978,-0.004941154928768343,0.01918463363126688,0.0043499347638846775,0.011567465927981635,42.900001525878906
2015-03-24,36.665130615234375,42.900001525878906,43.16999816894531,42.75,42.77999877929688,25513300,0.0009332924628489003,42.107000732421874,42.67700042724609,43.41320007324219,42.63395196136688,0.028776996186675063,0.02069956630621106,-0.026990215980734922,48.5347986627588,-0.28675110431348116,-0.42543553885179763,44.461614222413615,40.89238663207857,-0.00046642857428802476,0.013951292026840978,-0.004941154928768343,0.0033686088792674873,-0.019136516313283836,41.459999084472656
2015-03-25,35.434410095214844,41.459999084472656,42.93000030517578,41.43999862670898,42.91999816894531,43469900,-0.033566489281768086,42.055000686645506,42.550500297546385,43.31040008544922,42.52214692547219,-0.024470609777114016,-0.012386861920770098,-0.057513127925898244,37.95619055892843,-0.3483455058426088,-0.4100175322499599,44.30159587739347,40.7994047176993,0.0009332924628489003,-0.00046642857428802476,0.013951292026840978,0.01918463363126688,-0.0011896083395839252,41.209999084472656
2015-03-26,35.22074508666992,41.209999084472656,41.61000061035156,40.91999816894531,41.220001220703125,37495600,-0.006029908478546675,42.07400054931641,42.40800018310547,43.20740005493164,42.397180464424615,-0.025537994979284773,0.004631853354185589,-0.06468457103921055,40.94486769905814,-0.41257649842705035,-0.410529325485378,44.104890159914405,40.71111020629654,-0.033566489281768086,0.0009332924628489003,-0.00046642857428802476,-0.004941154928768343,-0.02286801083708434,40.970001220703125
2015-03-27,35.0156364440918,40.970001220703125,41.43000030517578,40.83000183105469,41.119998931884766,34401400,-0.005823777459387447,42.0330005645752,42.26400032043457,43.10760009765625,42.26125863168923,-0.04454290577973774,-0.009908164253964458,-0.06567838890844313,34.5901825927191,-0.477343327921524,-0.4238921259726073,43.93424025303915,40.59376038782999,-0.006029908478546675,-0.033566489281768086,0.0009332924628489003,0.013951292026840978,0.008776221509851911,40.959999084472656
2015-03-30,35.007076263427734,40.959999084472656,41.540000915527344,40.90999984741211,41.09999847412109,35049700,-0.00024413316896398918,41.97300033569336,42.118000221252444,43.01720008850098,42.13732915100194,-0.044330412944978304,-0.01443701320962798,-0.06654516664914933,39.88658308466891,-0.5234446516074129,-0.4438026310995684,43.70171484412854,40.53428559837635,-0.005823777459387447,-0.006029908478546675,-0.033566489281768086,-0.00046642857428802476,0.0043499347638846775,40.65999984741211
2015-03-31,34.750675201416016,40.65999984741211,41.02999877929688,40.540000915527344,40.77999877929688,34887200,-0.00732420028725711,41.86900024414062,41.9870002746582,42.90560005187988,41.99663112208863,-0.05221448948237317,-0.0249400694604216,-0.060536021390510286,38.08664732234462,-0.5775303041569373,-0.47054816571104224,43.59919242416653,40.37480812514987,-0.00024413316896398918,-0.005823777459387447,-0.006029908478546675,0.0009332924628489003,0.0033686088792674873,40.720001220703125
2015-04-01,34.80195236206055,40.720001220703125,40.7599983215332,40.310001373291016,40.59999847412109,36865300,0.0014756855267139546,41.691000366210936,41.87000026702881,42.79220008850098,41.87504732195668,-0.0178484775714014,-0.041882324218750044,-0.05434277933022391,46.76725183314987,-0.6085371268986606,-0.4981459579485659,43.49391379611753,40.24608673794008,-0.00732420028725711,-0.00024413316896398918,-0.005823777459387447,-0.033566489281768086,0.01918463363126688,40.290000915527344
2015-04-02,34.4344596862793,40.290000915527344,40.7400016784668,40.119998931884766,40.65999984741211,37487500,-0.010559928592466683,41.49100036621094,41.7290002822876,42.679600143432616,41.72409052134436,-0.022324634539774957,-0.04729250311426858,-0.06541404905819193,38.42888023720761,-0.6601973442528006,-0.5305562352094129,43.388891156802316,40.069109407772885,0.0014756855267139546,-0.00732420028725711,-0.00024413316896398918,-0.006029908478546675,-0.004941154928768343,41.54999923706055
2015-04-06,35.51132583618164,41.54999923706055,41.77999877929688,40.18000030517578,40.34000015258789,39223700,0.031273226430918566,41.35800018310547,41.688500213623044,42.568000106811525,41.70751039903162,0.014156651185656566,-0.031016832974000375,-0.019121845175164465,49.913625780233936,-0.5926355704421056,-0.5429721022559514,43.32289718895326,40.054103238292825,-0.010559928592466683,0.0014756855267139546,-0.00732420028725711,-0.005823777459387447,0.013951292026840978,41.52999877929688
2015-04-07,35.494239807128906,41.52999877929688,41.90999984741211,41.310001373291016,41.61000061035156,28809400,-0.00048135879978128404,41.225,41.62250022888183,42.45500007629394,41.69060453048545,0.013916008485466591,-0.031031306862218222,-0.030805128164039686,48.500864866246864,-0.5345443531705172,-0.5412865524388646,43.163339271155635,40.08166118660803,0.031273226430918566,-0.010559928592466683,0.0014756855267139546,-0.00024413316896398918,-0.00046642857428802476,41.41999816894531
2015-04-08,35.40022277832031,41.41999816894531,41.68999862670898,41.040000915527344,41.459999084472656,24753400,-0.0026487024701383755,41.07699966430664,41.59200019836426,42.34320007324219,41.66483249605306,0.01869154757465097,-0.034498911521968156,-0.014513457722298173,39.156615431282646,-0.49171459512913884,-0.5313721609769195,43.12299406276011,40.061006333968415,-0.00048135879978128404,0.031273226430918566,-0.010559928592466683,-0.00732420028725711,0.0009332924628489003,41.47999954223633
2015-04-09,35.451507568359375,41.47999954223633,41.619998931884766,41.25,41.25,25723900,0.0014486087866609765,41.07899971008301,41.567000198364255,42.31960006713867,41.64722935759433,0.018664005372052817,0.00048240371937602333,-0.011910433669656162,41.61490241731475,-0.447768497425308,-0.5146514282665973,43.08761130592056,40.04638909080795,-0.0026487024701383755,-0.00048135879978128404,0.031273226430918566,0.0014756855267139546,-0.033566489281768086,41.720001220703125
2015-04-10,35.6566276550293,41.720001220703125,41.95000076293945,41.40999984741211,41.630001068115234,28022000,0.005785961454083832,41.12999992370605,41.60200023651123,42.330200119018556,41.65416001122374,0.03549268485185553,0.0123756890939275,0.017064864825153014,37.05359385630364,-0.3890895861565795,-0.4895390598445938,43.10167926955558,40.10232120346688,0.0014486087866609765,-0.0026487024701383755,-0.00048135879978128404,-0.010559928592466683,-0.006029908478546675,41.7599983215332
